Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-05-21,11.775,12.1376,11.775,12.0679,1146084.3915398
2001-05-22,12.171,12.3342,12.171,12.233,1188307.6928828
2001-05-23,12.3027,12.7588,12.233,12.63,2335883.3665723
2001-05-24,12.9219,13.1204,12.7588,12.8952,870399.45488312
2001-05-25,12.8609,12.8952,12.6624,12.7321,969151.04797204
2001-05-28,12.567,12.6977,12.567,12.5947,601641.69672922
2001-05-29,12.5345,12.5947,12.4639,12.5947,1542711.9961412
2001-05-30,12.4992,12.6624,12.4992,12.63,502750.72168252
2001-05-31,12.4992,12.9916,12.4992,12.9916,1051795.1170689
2001-06-01,12.9563,13.0594,12.8609,13.025,971913.535496
2001-06-04,12.9219,13.0594,12.7922,12.7922,417680.56813276
2001-06-05,12.7588,13.025,12.7321,12.9916,752122.85987506
2001-06-06,12.9916,13.0861,12.8609,12.8609,1549110.9903829
2001-06-07,12.567,12.7922,12.4639,12.4992,1382995.9923045
2001-06-08,12.4992,12.5345,12.2053,12.2053,1222351.4740724
2001-06-11,12.0679,12.2053,12.0069,12.0679,1327185.5700403
2001-06-12,12.0679,12.3342,12.0679,12.2053,895664.26870236
2001-06-13,12.3962,12.4639,12.2053,12.2053,1149008.2686991
2001-06-15,12.2053,12.2664,11.7416,11.775,1214613.1554545
2001-06-18,11.8093,11.9382,11.775,11.8093,911396.6141916
2001-06-19,11.9382,12.0412,11.8093,11.8437,641032.29557708
2001-06-20,11.8093,11.878,11.7416,11.7416,333983.27446783
2001-06-21,11.8437,12.0412,11.8093,11.878,501327.55853475
2001-06-22,11.878,12.0069,11.6805,11.8093,564354.40306368
2001-06-25,11.8437,12.0412,11.8093,12.0069,558850.38770866
2001-06-26,12.0069,12.0069,11.482,11.5498,537490.36467631
2001-06-27,11.5498,11.7139,11.5498,11.6118,292315.4049866
2001-06-28,11.482,11.8093,11.4477,11.7139,380960.23416011
2001-06-29,11.7416,11.9382,11.6452,11.6452,337429.04798026
2001-07-02,11.6452,11.8437,11.5765,11.7139,660765.84644054
2001-07-03,11.7416,11.8093,11.6452,11.6805,407227.96928453
2001-07-04,11.6805,11.775,11.5765,11.6452,868744.68712882
2001-07-05,11.6118,11.6805,11.5154,11.6118,608236.66409958
2001-07-06,11.5154,11.6118,11.5154,11.5498,524918.74087609
2001-07-09,11.5154,11.5154,10.9219,11.1547,911908.03069831
2001-07-10,11.1547,11.1547,10.5612,10.6958,589666.37619195
2001-07-11,10.4315,10.628,10.2664,10.5612,1993212.2993983
